Component_1st,Component_2nd,Continent
25.144695727269138,0.3110204929967139,Asia
12.74419957496816,8.019849582252556,North America
9.64351570223166,2.696568876812211,Asia
7.997480432840705,-2.6616217038594847,South America
11.479336288976477,-3.438928299564268,Europe
6.762411531868567,-1.872759632451048,Europe
7.496694366738914,0.3816568260105455,Europe
2.738767379739752,0.3218953472811018,Europe
5.676836998726046,-2.016666398458096,Asia
3.5858156363837184,-1.716002337829846,Europe
1.4017846101070446,-0.3361798724150846,Europe
1.7110077196397269,-1.837461305969388,Asia
1.5082464688937414,0.8903019665966412,South America
1.962337573996339,0.5327720915271569,Europe
0.8491588463024964,0.030953358210291874,Asia
2.3034631613038163,2.2435778312315757,Asia
1.4006131145731162,-0.5457103738984586,South America
3.047085711818701,1.8715475328508022,Asia
1.553020799048526,-0.9149915360436744,Europe
0.7292886917148516,-0.11638980896942128,North America
2.0017565491703158,-4.460181703623146,Australia/Oceania
0.6847315932640956,-1.673470003984369,Asia
0.7209652773093451,-2.4117776279178327,Asia
0.3860843080032452,0.5955171013553023,Europe
0.34108366107000265,1.132661080995374,Europe
1.3769458486494783,0.78865317420351,Europe
0.5229360413122847,0.27235557728469945,Africa
0.4512204580787431,-1.5747387541278397,Asia
1.083552728766729,-0.9227116834614121,Asia
0.3845259921371182,-0.6954904102986171,North America
-0.2683819777833948,-0.7221403329445332,Europe
-0.4109254395390069,0.7347180278328926,South America
-0.24268374947234425,-0.6250287732225359,Europe
-0.05944600940296945,1.709924267585489,Europe
0.3270096441845925,-1.5010708173563452,Europe
0.15522731065633166,-1.6718778448242129,Europe
-0.4008338263852146,-0.16723394448148932,Asia
-0.00849424767208045,-2.6579127143972894,Europe
-0.2066863643068452,1.6776882959968369,Asia
-0.09826784962029662,-0.9907510017307275,Europe
-0.502211119088808,0.6558798384108497,Europe
-0.5982114755038094,0.9400400922100446,Asia
0.21174116895924117,-1.6201182556844878,Asia
-0.5387439757996534,-0.3621192394774723,Asia
