"Country,Other",TotalCases,NewCases,TotalDeaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
Maldives,173991,325,297,0,159387,307,14307,25,312608,534,2208513,3968014,556579,Asia
Uganda,163446,15,3593,0,100097,0,59756,35,3393,75,2491586,51723,48172039,Africa
Ghana,160681,14,1445,1,159044,52,192,1,4995,45,2363430,73478,32165194,Africa
Namibia,157366,0,4014,0,153069,0,283,1,60100,1533,964061,368186,2618407,Africa
El Salvador,156364,0,4094,1,132410,0,19860,153,23904,626,1758939,268895,6541358,North America
Iceland,155877,2633,77,1,75685,0,80115,6,451850,223,1814488,5259767,344975,Europe
Laos,145094,335,637,2,7660,0,136797,0,19467,85,1002806,134543,7453412,Asia
Cambodia,133501,238,3044,1,127995,312,2462,0,7803,178,2892129,169044,17108765,Asia
Trinidad and Tobago,131840,462,3673,4,108546,3749,19621,18,93695,2610,647371,460066,1407125,North America
Guadeloupe,130705,0,843,0,2250,0,127612,19,326567,2106,938039,2343697,400239,North America
Rwanda,129576,7,1458,0,45522,0,82596,0,9603,108,4950817,366924,13492763,Africa
Jamaica,128273,27,2837,2,79094,98,46342,25,43002,951,873515,292836,2982948,North America
Martinique,126221,0,900,0,104,0,125217,10,336791,2401,738299,1969979,374775,North America
Cameroon,119322,0,1926,0,117263,0,133,13,4314,70,1751774,63336,27658342,Africa
China,112385,528,4636,0,103139,126,4610,7,78,3,160000000,111163,1439323776,Asia
Brunei ,104022,3849,156,1,64081,3333,39785,0,234001,351,717784,1614678,444537,Asia
Angola,98855,0,1900,0,96817,0,138,0,2858,55,1453019,42011,34586857,Africa
DRC,86290,19,1335,0,50930,0,34025,0,917,14,846704,8994,94143993,Africa
Senegal,85782,7,1962,0,83761,11,59,1,4906,112,1023866,58551,17486717,Africa
Malawi,85476,15,2620,0,76547,118,6309,67,4282,131,552093,27657,19962132,Africa
Ivory Coast,81571,0,795,0,80576,0,200,0,2969,29,1436544,52280,27477991,Africa
Suriname,78654,31,1319,0,49364,0,27971,1,132083,2215,231515,388781,595489,South America
French Guiana,78025,39,394,0,11254,0,66377,4,250309,1264,601360,1929198,311715,South America
Malta,72421,153,613,1,70318,76,1490,4,163285,1382,1211456,2731427,443525,Europe
French Polynesia,70158,572,643,0,0,0,0,7,247345,2267,0,0,283644,Australia/Oceania
Eswatini,69379,28,1392,1,67876,30,111,11,58776,1179,484434,410397,1180404,Africa
Fiji,64060,0,834,0,62208,0,1018,0,70598,919,498751,549654,907391,Australia/Oceania
Madagascar,63791,0,1373,0,59002,0,3416,26,2208,48,401851,13910,28889452,Africa
Guyana,63107,17,1224,0,61684,66,199,5,79585,1544,548943,692281,792948,South America
Sudan,61643,0,4865,0,0,0,0,0,1353,107,562941,12352,45573072,Africa
